City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,metlili chaamba,32.2667,3.6333,18.52,42,0,0.0,DZ,1696551294
279,plainview,40.7765,-73.4673,20.46,86,0,3.09,US,1696551295
280,lesogorsk,56.0458,99.5136,7.18,69,100,1.79,RU,1696551295
281,gagarawa,12.4074,9.5277,31.1,36,93,2.9,NG,1696551296
282,darwin,-12.4611,130.8418,31.61,66,20,3.58,AU,1696551238
283,osmanabad,18.1667,76.05,21.32,70,59,3.87,IN,1696551297
284,kruisfontein,-34.0033,24.7314,17.16,95,100,6.23,ZA,1696551297
285,hanover,52.3705,9.7332,14.09,96,0,2.57,DE,1696551122
286,mogilno,52.6581,17.9558,10.11,89,22,4.04,PL,1696551040
287,chonchi,-42.6128,-73.8092,8.4,92,82,3.73,CL,1696551299
288,vuktyl,63.8567,57.3094,8.39,94,100,4.92,RU,1696551299
289,champoton,19.35,-90.7167,28.88,80,79,3.67,MX,1696551300
290,kani keli,-12.9536,45.1033,25.59,77,13,2.69,YT,1696551301
291,tchollire,8.4022,14.1698,21.81,95,92,0.59,CM,1696551301
292,lerwick,60.1545,-1.1494,12.0,97,100,9.05,GB,1696551302
293,namikupa,-10.8333,39.6,20.83,98,19,0.93,TZ,1696551303
294,hammerfest,70.6634,23.6821,3.25,70,75,3.09,NO,1696551304
295,kuraymah,18.55,31.85,32.03,14,0,4.33,SD,1696551201
296,talnakh,69.4865,88.3972,1.23,97,100,5.77,RU,1696551305
297,kailua-kona,19.6406,-155.9956,29.98,79,40,4.63,US,1696551306
298,hovd,48.0056,91.6419,5.31,63,87,0.08,MN,1696551307
299,louis trichardt,-23.0439,29.9032,18.5,34,6,1.06,ZA,1696551307
300,kaoma,-14.7833,24.8,21.84,32,25,4.44,ZM,1696551308
301,ilulissat,69.2167,-51.1,-0.99,55,75,10.8,GL,1696551309
302,touba,8.2833,-7.6833,22.18,96,100,0.63,CI,1696551309
303,weno,7.4515,151.8468,26.68,81,100,3.81,FM,1696551310
304,st. john's,47.5649,-52.7093,7.76,90,58,0.89,CA,1696550740
305,urangan,-25.3,152.9,23.14,41,4,2.62,AU,1696551311
306,buncrana,55.1333,-7.45,14.79,80,100,8.12,IE,1696551311
307,tanout,14.9709,8.8879,28.23,33,10,5.95,NE,1696551311
308,rikaze,29.25,88.8833,8.94,64,21,1.07,CN,1696551312
309,luena,-11.7833,19.9167,21.56,35,83,0.9,AO,1696551143
310,piploda,23.35,75.4333,20.21,67,43,3.76,IN,1696551313
311,roma,43.2128,-75.4557,22.12,75,0,3.09,US,1696551313
312,champerico,14.3,-91.9167,30.3,84,25,5.62,GT,1696551314
313,andovoranto,-18.95,49.1,21.11,84,66,1.86,MG,1696551314
314,harper,4.375,-7.7169,25.23,85,84,2.41,LR,1696551315
315,kuanda,56.3161,116.0806,2.99,71,100,0.07,RU,1696551315
316,eirunepe,-6.6603,-69.8736,24.8,88,95,1.35,BR,1696551316
317,aykhal,66.0,111.5,-8.85,92,93,3.58,RU,1696551316
318,constitucion,-35.3333,-72.4167,10.4,79,100,3.63,CL,1696551126
319,augusto correa,-1.0217,-46.635,26.57,72,44,3.59,BR,1696551317
320,trinidad,-14.8333,-64.9,31.83,43,60,2.96,BO,1696551318
321,grand falls-windsor,48.9332,-55.6649,10.28,84,87,2.33,CA,1696551318
322,pirallahi,40.4723,50.333,15.08,62,1,5.51,AZ,1696551319
323,najran,17.4924,44.1277,20.36,23,0,1.19,SA,1696551320
324,ponta delgada,37.7333,-25.6667,23.4,94,40,8.23,PT,1696550747
325,port augusta,-32.5,137.7667,18.08,58,50,3.89,AU,1696551321
326,tofol,5.3248,163.0078,24.88,94,100,2.06,FM,1696551321
327,badger,64.8,-147.5333,4.52,58,75,3.6,US,1696551047
328,lexington,37.9887,-84.4777,20.0,79,75,2.57,US,1696551041
329,ulsteinvik,62.3432,5.8487,11.53,75,93,3.13,NO,1696551322
330,balachor,31.0667,76.3167,20.58,55,0,1.53,IN,1696551280
331,vincennes,48.85,2.4333,13.83,85,0,1.03,FR,1696551324
332,manziana,42.1321,12.1264,17.94,86,65,0.94,IT,1696551324
333,aden,12.7794,45.0367,29.93,60,1,3.94,YE,1696551324
334,safaga,26.7292,33.9365,27.98,55,12,6.31,EG,1696551265
335,geraldton,-28.7667,114.6,27.23,16,0,7.2,AU,1696551326
336,pul-e khumri,35.9446,68.7151,22.24,21,77,1.99,AF,1696551327
337,howard springs,-12.497,131.047,31.57,40,49,4.8,AU,1696551327
338,polatsk,55.4859,28.7756,8.02,85,97,8.91,BY,1696551328
339,tondela,40.5167,-8.0833,15.8,84,17,1.69,PT,1696551328
340,utrik,11.2278,169.8474,28.36,72,100,6.06,MH,1696551329
341,teguise,29.0605,-13.564,24.12,65,0,4.63,ES,1696551330
342,bonthe,7.5264,-12.505,26.08,88,81,4.0,SL,1696551330
343,ilhabela,-23.7781,-45.3581,22.34,97,100,1.83,BR,1696551331
344,akonolinga,3.7667,12.25,20.51,99,100,1.33,CM,1696551331
345,olney,39.1532,-77.0669,22.44,84,75,0.0,US,1696551169
346,hadibu,12.65,54.0333,26.32,80,77,3.58,YE,1696551172
347,jijiga,9.35,42.8,17.92,69,76,1.74,ET,1696551332
348,walvis bay,-22.9575,14.5053,13.38,90,56,4.42,NA,1696551333
349,qarazhal,48.0078,70.7903,10.94,61,42,3.23,KZ,1696551334
350,kapoeta,4.7717,33.5903,28.76,41,18,7.53,SS,1696551334
351,pechora,65.1472,57.2244,4.36,86,75,2.68,RU,1696551334
352,sanshui,23.1549,112.8916,25.99,78,100,2.94,CN,1696551335
353,oyem,1.5995,11.5793,20.62,99,100,1.53,GA,1696551335
354,askoy,60.4092,5.226,10.16,100,100,4.63,NO,1696551336
355,tateyama,34.9833,139.8667,23.39,51,51,4.33,JP,1696551336
356,gadzhiyevo,69.2551,33.3362,1.64,91,50,11.81,RU,1696551336
357,enshi,30.3,109.4833,15.44,99,100,1.18,CN,1696551337
358,ocean city,39.2776,-74.5746,20.55,88,24,2.24,US,1696551337
359,buenos aires,-34.6132,-58.3772,21.67,28,3,0.45,AR,1696551157
360,msanga,-6.05,36.0333,19.04,79,2,2.67,TZ,1696551338
